unique_id,ds,y
1,2026-01-09 17:00:00,112
1,2026-01-09 17:00:00,117
1,2026-01-09 17:00:00,316
1,2026-01-09 17:00:00,472209
1,2026-01-09 17:00:00,331
1,2026-01-09 17:00:00,3972
1,2026-01-09 17:00:00,50924
1,2026-01-09 17:00:00,1602
1,2026-01-09 17:00:00,17286
1,2026-01-09 17:00:00,17457
1,2026-01-09 17:00:00,2465
1,2026-01-09 17:00:00,2375
1,2026-01-09 17:00:00,283
1,2026-01-09 17:00:00,289
1,2026-01-09 17:00:00,37986
1,2026-01-09 17:00:00,31226
1,2026-01-09 17:00:00,11706
1,2026-01-09 17:00:00,14145
1,2026-01-09 17:00:00,3872
1,2026-01-09 17:00:00,19
1,2026-01-09 17:00:00,51631
1,2026-01-09 17:00:00,24528
1,2026-01-09 17:00:00,3297
1,2026-01-09 17:00:00,189
1,2026-01-09 17:00:00,3965
1,2026-01-09 17:00:00,1697
1,2026-01-09 17:00:00,5616
1,2026-01-09 17:00:00,5405
1,2026-01-09 17:00:00,3698
1,2026-01-09 17:00:00,1210
1,2026-01-09 17:00:00,229
1,2026-01-09 17:00:00,2735
1,2026-01-09 17:00:00,1438
1,2026-01-09 17:00:00,1404
1,2026-01-09 17:00:00,24710
1,2026-01-09 17:00:00,24528
1,2026-01-09 17:00:00,92022
1,2026-01-09 17:00:00,1967
1,2026-01-09 17:00:00,50160
1,2026-01-09 17:00:00,97627
1,2026-01-09 17:00:00,3204
1,2026-01-09 17:00:00,3226
1,2026-01-09 17:00:00,3239
1,2026-01-09 17:00:00,6944
1,2026-01-09 17:00:00,6977
1,2026-01-09 17:00:00,18064
1,2026-01-09 17:00:00,17848
1,2026-01-09 17:00:00,18064
1,2026-01-09 17:00:00,17848
1,2026-01-09 17:00:00,1570
1,2026-01-09 17:00:00,1556
1,2026-01-09 17:00:00,46053
1,2026-01-09 17:00:00,24710
1,2026-01-09 17:00:00,1581
1,2026-01-09 17:00:00,13550
1,2026-01-09 17:00:00,2735
1,2026-01-09 17:00:00,51631
1,2026-01-09 17:00:00,27496
1,2026-01-09 17:00:00,76592
1,2026-01-09 17:00:00,79860
1,2026-01-09 17:00:00,82769
1,2026-01-09 17:00:00,92022
1,2026-01-09 17:00:00,97627
1,2026-01-09 17:00:00,3839
1,2026-01-09 17:00:00,2723
1,2026-01-09 17:00:00,3075
1,2026-01-09 17:00:00,1473
1,2026-01-09 17:00:00,1450
1,2026-01-09 17:00:00,13550
1,2026-01-09 17:00:00,13815
1,2026-01-09 17:00:00,2261
1,2026-01-09 17:00:00,77414
1,2026-01-09 17:00:00,318
1,2026-01-09 17:00:00,785
1,2026-01-09 17:00:00,2108
1,2026-01-09 17:00:00,5614
1,2026-01-09 17:00:00,4251
1,2026-01-09 17:00:00,16058
1,2026-01-09 17:00:00,16488
1,2026-01-09 17:00:00,2085
1,2026-01-09 17:00:00,802
1,2026-01-09 17:00:00,180
1,2026-01-09 17:00:00,65
1,2026-01-09 17:00:00,59
1,2026-01-09 17:00:00,320
1,2026-01-09 17:00:00,213
1,2026-01-09 17:00:00,2399
1,2026-01-09 17:00:00,28378
1,2026-01-09 17:00:00,2338
1,2026-01-09 17:00:00,50924
1,2026-01-09 17:00:00,353
1,2026-01-09 17:00:00,910
1,2026-01-09 17:00:00,881
1,2026-01-09 17:00:00,11588
1,2026-01-09 17:00:00,11884
1,2026-01-09 17:00:00,401
1,2026-01-09 17:00:00,389
1,2026-01-09 17:00:00,629
1,2026-01-09 17:00:00,6020
1,2026-01-09 17:00:00,6255
1,2026-01-09 17:00:00,25463
1,2026-01-09 17:00:00,28315
1,2026-01-09 17:00:00,353
1,2026-01-09 17:00:00,37986
1,2026-01-09 17:00:00,516
1,2026-01-09 17:00:00,20972
1,2026-01-09 17:00:00,31245
1,2026-01-09 17:00:00,2446
1,2026-01-09 17:00:00,1842
1,2026-01-09 17:00:00,1831
1,2026-01-09 17:00:00,4740
1,2026-01-09 17:00:00,2336
1,2026-01-09 17:00:00,3625
1,2026-01-09 17:00:00,13815
1,2026-01-09 17:00:00,9120
1,2026-01-09 17:00:00,9001
1,2026-01-09 17:00:00,34377
1,2026-01-09 17:00:00,31055
1,2026-01-09 17:00:00,21390
1,2026-01-09 17:00:00,2235
1,2026-01-09 18:00:00,17273
1,2026-01-09 18:00:00,668
1,2026-01-09 18:00:00,690
1,2026-01-09 18:00:00,17515
1,2026-01-09 18:00:00,484786
1,2026-01-09 18:00:00,22
1,2026-01-09 18:00:00,4273
1,2026-01-09 18:00:00,3637
